"# Constructed from biom file"																																								
"#OTU ID"	"Barbutim-09-2017"	"Haon-09-2017"	"Tiberias-Head-09-2017"	"Maayan1-09-2017"	"Ein7-09-2017"	"Fuliya4-09-2017"	"Tiberias-Pump-09-2017"	"Gesher-Hana-09-2017"	"Nur-09-2017"	"Barbutim-01-2018"	"Haon-01-2018"	"Tiberias-Pump-01-2018"	"Tiberias-Pool-01-2018"	"Gesher-Hana-01-2018"	"Nur-01-2018"	"Maayan1-01-2018"	"Ein7-01-2018"	"Fuliya4-01-2018"	"Barbutim-09-2018"	"Haon-09-2018"	"Tiberias-Head-09-2018"	"Tiberias-Pump-09-2018"	"Tiberias-Pool-09-2018"	"Gesher-Hana-09-2018"	"Nur-09-2018"	"Maayan1-09-2018"	"Ein7-09-2018"	"Fuliya4-09-2018"	"Barbutim-01-2019"	"Haon-01-2019"	"Tiberias-Head-01-2019"	"Tiberias-Pump-01-2019"	"Tiberias-Pool-01-2019"	"Gesher-Hana-01-2019"	"Nur-01-2019"	"Maayan1-01-2019"	"Ein7-01-2019"	"Fuliya4-01-2019"	"Tiberias-Head-06-2018"	"Tiberias-Pool-06-2018"
"ab7d8"	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	36	0	0
"c22df"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	21	0	27	0	0	0
"4b12c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	18	0	0	0
"a6215"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0
"5458e"	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0
"8f04c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0
"49fe1"	0	0	6	0	0	0	0	0	0	0	0	5444	2584	0	0	0	0	0	0	0	437	485	30408	0	0	0	0	0	0	0	0	0	24353	0	0	0	0	0	0	6942
"12630"	0	0	0	16	24	0	0	14	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	18	0	44	0	0	0	0	0	0	0	0	0	0	8	0	0	0
"1d34a"	0	0	0	0	93	0	0	38	0	0	0	0	0	489	0	0	37	0	0	0	0	0	0	1077	0	0	27	0	0	0	0	0	0	62	36	0	0	0	451	0
"f26c4"	0	0	0	0	32	0	0	20	0	0	0	0	0	76	0	0	22	0	0	0	0	0	0	12	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
