	"10B-917"	"10W-118"	"10W-119"	"10W-917"	"10W-918"	"11B-118"	"11B-119"	"11B-917"	"11B-918"	"11W-118"	"11W-119"	"11W-917"	"11W-918"	"12B-118"	"12B-119"	"12B-618"	"12B-917"	"12B-918"	"12W-118"	"12W-119"	"12W-618"	"12W-917"	"12W-918"	"13W-118"	"13W-119"	"13W-917"	"13W-918"	"14B-118"	"14B-119"	"14B-618"	"14B-917"	"14B-918"	"14W-118"	"14W-119"	"14W-618"	"14W-917"	"14W-918"	"16W-118"	"16W-119"	"16W-917"	"16W-918"	"5B-118"	"5B-119"	"5B-917"	"5B-918"	"5W-118"	"5W-119"	"5W-917"	"5W-918"	"6B-118"	"6B-119"	"6B-917"	"6B-918"	"6W-118"	"6W-119"	"6W-917"	"6W-918"	"8W-118"	"8W-119"	"8W-917"	"8W-918"	"9B-118"	"9B-119"	"9B-917"	"9B-918"	"9W-118"	"9W-119"	"9W-917"	"9W-918"
"670c1c75f69bffc65c005682220dbd00"	0	358	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	10	0	0	0	0	0	0	0	435	0	0	0	0	195	0	0	0	226	0	209	0
"cd1c788b0a44c84764a0cf4df5be1e6e"	3	93	0	0	86	0	0	0	0	275	383	24	30	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	671	0	288	95	0	17	0	0	0	0	0	1202	0	432	0	0	34	13	0	14	0	0	177	300
"4b3f3866e88d8515022f251a82aa4c37"	0	0	0	0	0	0	0	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f9d13f945fe104de471ebba2a13bee4e"	0	0	0	0	0	0	0	0	0	527	0	748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3ab620ff19ae0766060a2d5a6e4caea4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	678	322	2892	65	6	0	0	0	16	0	0	34	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0
"310a5c9678951e27475d908cb2b7454b"	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	230	99	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	137	0
"809245f4de6bffb6f259414df33d408f"	91	178	0	0	590	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	76	0	0	251	161	0	0	0	0	0	0	0	734	0	0	0	0	0	0	0	0	0	0	9	0
"eb08124df285c62e18a9c9221cf9d935"	0	0	0	0	0	0	66	577	4	0	5	12	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0
"44200e168b7925ebc9a14a656e10bf27"	0	427	0	0	0	0	153	12	0	477	0	38	315	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	597	0	21	997	42	381	610	0	0	0	0	0	286	87	0	224	9	385	200	255	0	18	4	0	0	814	0
"9389e60d154a547b3fecc11127f9d305"	0	15	55	0	0	0	0	0	0	140	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	24	42	0	0	0	0	0	15	0	0	0	62	25	207	0
"b107b992de2869e1350966d8e6fdc4ce"	0	0	0	0	0	0	62	37	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	833	0	0	11	0	0	0	0	0
"b52d9dc78f11ed6b7a1b2c322f28c730"	0	0	0	0	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	15	0	0	0	0	63	0	0	0	0	0	17	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"910b80e212e8d7c4b1817a2bbd8bbf7e"	0	0	0	0	0	0	0	8	0	603	247	468	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	47	129	0	0	0	0	0	0	0	0	0	0	0	16
"7e7e625a9586c493d813dbfdbebbd959"	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0
"5b9c5a8b719b7256edfeabd51c685291"	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
"de0eb8ee3b32eed93c57f80ccee7901c"	0	0	0	0	0	0	10	0	26	0	0	0	0	0	0	0	0	0	0	0	31	17	0	260	0	8	157	0	0	0	0	0	574	314	0	0	0	910	5085	0	30679	0	0	0	0	4029	50	270	94	180	513	34	127	0	0	0	0	0	0	0	0	247	0	0	0	0	0	1692	0
"1599754df9c2552fa46a99f58a7de54e"	0	0	0	0	0	0	0	0	3	0	37	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	150	0	0	20	0	5	0	0	2628	0	0	0	0	0	0	0	0	0	0
