"feature_ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"3830b"	"3830b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c4e1c"	"c4e1c"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"646c6"	"646c6"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"6c872"	"6c872"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"dad1e"	"dad1e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"6b276"	"6b276"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"476bb"	"476bb"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"52b22"	"52b22"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"fa4ab"	"fa4ab"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c6a78"	"c6a78"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"66960"	"66960"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f4036"	"f4036"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"50c8c"	"50c8c"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"ffaf4"	"ffaf4"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"74f0b"	"74f0b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"92fde"	"92fde"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a21ba"	"a21ba"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f2700"	"f2700"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"77663"	"77663"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"692f1"	"692f1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"ffc7e"	"ffc7e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
