	"8W-719"	"16W-719"	"12W-719"	"9W-719"	"6W-719"	"5W-719"	"12B-719"	"9B-719"	"6B-719"	"5B-719"	"13W-719"	"11W-719"	"10W-719"	"8W-811"	"16W-811"	"13W-811"	"14W-811"	"11W-811"	"10W-811"	"9W-811"	"6W-811"	"5W-811"	"12B-811"	"14B-811"	"11B-811"	"9B-811"	"6B-811"	"5B-811"	"8W-819"	"16W-819"	"12W-819"	"13W-819"	"14W-819"	"11W-819"	"10W-819"	"9W-819"	"6W-819"	"5W-819"	"14B-819"	"11B-819"	"9B-819"	"6B-819"	"5B-819"	"8W-911"	"16W-911"	"12W-911"	"13W-911"	"14W-911"	"11W-911"	"10W-911"	"9W-911"	"6W-911"	"5W-911"	"12B-911"	"14B-911"	"11B-911"	"9B-911"	"6B-911"	"5B-911"	"12W-816"	"12B-816"	"14W-816"	"14B-816"	"14B-719"	"11B-719"	"10B-719"	"12W-811"	"12B-819"	"14W-719"
"835278575553ff440d590fa1b5aeee9c"	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9bb12b2a24a9e45fe50cd6f83934cb24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	175	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0
"a5c6eb1f16003f3231535d8a6751f87c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8f90488611409103715bd6cfb471d98a"	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
"5161158b101e0f96566af2fbb8c94adb"	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8f18a2f836ea6ad084e6d99b838f481b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"e3d346b0829c5a3945f007dcee525463"	0	0	0	0	0	11	0	19	0	59	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	636	0	25	0	0	0	0	163	0	0	0	0	0	0	0	75	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	12	0	0	0	0
"da7146b403ef56e9701093f50502dfdf"	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0
"e81062848bdceda2c23f744994b5b9cb"	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	34	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"c92ecc7279c9bbbc7ee43e8e6a045b4f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	39	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"58b14565083f938a9a5958bf94fcfa64"	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"61b7782865795930d1d86868fd997307"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ca7b2aebd4fa4d69a6ded7793ccbe50d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	186	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	199	24885	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"b9c5c7afdd230642e5fdb6998ce75a73"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	29	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"20c1b54888122d945db482e0b6af5c81"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
